"Progetto","Metodo","Path","File"
"TPI_api_staging","GET","/","E:\CLONAZIONE\TPI_api_staging\app.py"
"TPI_evoluto","GET","/","E:\CLONAZIONE\tpi_evoluto\app\main.py"
"TPI_evoluto","GET","/","E:\CLONAZIONE\tpi_evoluto\src\mini_app.py"
"TPI_evoluto","GET","/debug/routes","E:\CLONAZIONE\tpi_evoluto\app\main.py"
"TPI_api_staging","POST","/files/","E:\CLONAZIONE\TPI_api_staging\.venv\Lib\site-packages\fastapi\datastructures.py"
"TPI_evoluto","POST","/files/","E:\CLONAZIONE\tpi_evoluto\.venv\Lib\site-packages\fastapi\datastructures.py"
"TPI_api_staging","GET","/health","E:\CLONAZIONE\TPI_api_staging\app.py"
"TPI_evoluto","GET","/health","E:\CLONAZIONE\tpi_evoluto\app\dpi_csv.py"
"TPI_evoluto","GET","/health","E:\CLONAZIONE\tpi_evoluto\src\mini_app.py"
"TPI_evoluto","GET","/health","E:\CLONAZIONE\tpi_evoluto\app\main.py"
"TPI_evoluto","GET","/healthz","E:\CLONAZIONE\tpi_evoluto\app\main.py"
"TPI_api_staging","GET","/items/","E:\CLONAZIONE\TPI_api_staging\.venv\Lib\site-packages\fastapi\applications.py"
"TPI_api_staging","GET","/items/","E:\CLONAZIONE\TPI_api_staging\.venv\Lib\site-packages\fastapi\applications.py"
"TPI_api_staging","GET","/items/","E:\CLONAZIONE\TPI_api_staging\.venv\Lib\site-packages\fastapi\security\api_key.py"
"TPI_api_staging","GET","/items/","E:\CLONAZIONE\TPI_api_staging\.venv\Lib\site-packages\fastapi\param_functions.py"
"TPI_api_staging","GET","/items/","E:\CLONAZIONE\TPI_api_staging\.venv\Lib\site-packages\fastapi\security\api_key.py"
"TPI_api_staging","GET","/items/","E:\CLONAZIONE\TPI_api_staging\.venv\Lib\site-packages\fastapi\applications.py"
"TPI_api_staging","GET","/items/","E:\CLONAZIONE\TPI_api_staging\.venv\Lib\site-packages\fastapi\security\api_key.py"
"TPI_evoluto","GET","/items/","E:\CLONAZIONE\tpi_evoluto\.venv\Lib\site-packages\fastapi\security\api_key.py"
"TPI_evoluto","GET","/items/","E:\CLONAZIONE\tpi_evoluto\.venv\Lib\site-packages\fastapi\applications.py"
"TPI_evoluto","GET","/items/","E:\CLONAZIONE\tpi_evoluto\.venv\Lib\site-packages\fastapi\applications.py"
"TPI_evoluto","GET","/items/","E:\CLONAZIONE\tpi_evoluto\.venv\Lib\site-packages\fastapi\security\api_key.py"
"TPI_evoluto","GET","/items/","E:\CLONAZIONE\tpi_evoluto\.venv\Lib\site-packages\fastapi\param_functions.py"
"TPI_evoluto","GET","/items/","E:\CLONAZIONE\tpi_evoluto\.venv\Lib\site-packages\fastapi\applications.py"
